id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2015990,2022-12-28,"# [7 CF, 6, 10] Crystal Ush",Kittystix1 (#268795),0,0,7,female,mixed breed,7,11,1,-1,1,-1,-4,-2,1,0,0,0,0,11,16,14,14,straight,15,17,blue,pale,normal,normal,shorthair,,seal,bicolor,spotted tabby,point,False,False,False,True,False,0,0,,94.99,98.99,95.99,16.00,99.99,50.00
2015991,2022-12-28,"# [5.86 CF, 6, 10] Hyper",Kittystix1 (#268795),0,0,7,female,mixed breed,7,12,1,1,0,-1,-4,-2,1,2,0,0,0,11,18,13,14,straight,15,17,blue,pale,normal,normal,longhair,,cinnamon,,mackerel tabby,point,False,False,False,True,False,0,0,,94.99,93.99,99.19,55.60,99.99,50.00
2005528,2022-12-28,#2005528,Rescue Shelter,200,0,55,female,mixed breed,7,19,3,-5,-1,-1,-3,-5,0,0,0,1,0,13,12,12,14,straight,16,14,blue,deep,short (bobtail),normal,shorthair,,seal,,spotted tabby,point,False,False,False,True,False,0,0,True,99.99,50.99,68.99,43.60,99.99,74.00
2016160,2022-12-28,#2016160,Silverglitter17 (#179130),25,0,7,female,mixed breed,8,20,2,3,-5,-3,-3,-1,1,2,0,0,0,12,20,8,12,straight,16,18,blue,pale,normal,normal,longhair,,seal,bicolor,mackerel tabby,point,False,True,True,False,False,0,0,,84.99,91.99,23.00,37.00,41.00,50.00
2012075,2022-12-28,#2012075,Rescue Shelter,200,0,25,female,mixed breed,7,21,0,-2,-1,-2,-3,-9,2,0,2,0,0,10,15,12,13,straight,16,10,grey-green,deep,normal,normal,shorthair,rex III,black,mitted,spotted tabby,,False,False,False,False,False,0,0,True,99.99,2.74,0.00,9.00,99.99,75.00
2009271,2022-12-28,#Lion - SH,Enakhra ~James' Rehab and Retirement Center~ (#146955),1,0,37,female,mixed breed,6,25,0,-3,-4,0,-6,-7,3,0,2,0,0,10,14,9,15,straight,13,12,green,medium,normal,normal,shorthair,,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,True,4.99,10.99,7.99,67.00,85.96,70.00
2016069,2022-12-28,#2016069 1/6ex,Tuna Cat (#268804),300,0,7,female,mixed breed,10,25,-2,1,-1,-2,-6,-6,2,2,2,1,0,8,18,12,13,straight,13,13,green,deep,short (bobtail),normal,longhair,,black,mitted,classic tabby,,False,False,False,True,False,0,0,,99.99,95.75,95.89,52.50,99.99,50.00
2002402,2022-12-28,#Leda the Libra,Rescue Shelter,200,0,68,female,mixed breed,8,26,1,-1,5,3,-9,-3,2,0,2,0,0,11,16,18,18,straight,10,16,yellow-green,deep,normal,normal,shorthair,rex III satin,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,True,99.99,4.50,23.20,63.00,99.34,93.00
2007893,2022-12-28,#2007893,Rescue Shelter,200,0,43,female,mixed breed,9,26,4,-6,-2,-1,-3,-5,3,0,0,1,1,14,11,11,14,straight,16,14,grey-green,medium,short (bobtail),short (Munchkin),shorthair,,natural,bicolor,spotted tabby,mink,False,False,False,True,False,0,0,True,99.99,47.99,68.99,44.20,99.99,74.00
2016159,2022-12-28,#2016159,Silverglitter17 (#179130),25,0,7,female,mixed breed,6,27,2,2,-6,-8,-8,-1,0,0,0,0,0,12,19,7,7,straight,11,18,blue,deep,normal,normal,shorthair,,seal,,mackerel tabby,point,False,False,False,False,False,0,0,,84.99,93.99,30.00,46.00,78.00,50.00
2011005,2022-12-28,#2011005,Almalexia | Tigraunda Revival (#70878),100,0,29,female,mixed breed,7,27,8,1,0,-2,-5,-7,2,0,2,0,0,18,18,13,13,straight,14,12,hazel,deep,normal,normal,shorthair,,black,,spotted tabby,,False,False,False,False,False,0,0,True,99.99,80.06,0.00,53.00,95.82,50.00
2003959,2022-12-28,#2003959 3ex,Ali's Cattery 2 Mixies and OriMajs (#267045),1,0,61,female,mixed breed,10,27,5,-4,4,3,-3,-1,2,2,2,0,1,15,13,17,18,straight,16,18,aqua,deep,normal,short (Munchkin),longhair,LaPerm,lilac,,ticked tabby,,False,False,False,False,False,0,0,True,4.99,11.49,0.00,98.00,99.99,99.99
