id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2013570,2022-12-28,#2013570,Mocha116 (#222196),0,5,20,male,mixed breed,6,11.0,0.0,-2.0,0.5,0.5,-1.0,-5.0,2,0,0,0,0,12.0,15.0,12.5,15.5,straight,18.0,13.0,green,deep,normal,normal,shorthair,,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,,89.99,99.99,0.00,49.00,89.97,50.00
2009875,2022-12-28,#Brownie,Kidder (#267830),0,10,36,male,mixed breed,6,11.0,1.0,-1.0,0.0,1.0,-2.0,-4.0,2,0,0,0,0,13.0,16.0,12.0,16.0,straight,17.0,14.0,aqua,deep,normal,normal,shorthair,,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,,94.99,99.99,99.99,48.60,99.99,50.00
2012530,2022-12-28,#Harmony ,Kidder (#267830),0,25,23,male,Savannah,6,11.0,2.0,-1.0,0.0,0.5,-1.5,-4.0,2,0,0,0,0,14.0,16.0,12.0,15.5,straight,17.5,14.0,aqua,deep,normal,normal,shorthair,,black,,spotted tabby,,False,False,False,False,False,80,0,,94.99,99.99,99.99,53.64,99.99,50.00
2009746,2022-12-28,sbc · shu,limeshade  (#154001),0,50,36,male,mixed breed,6,12.0,0.0,-2.0,1.5,-0.5,-2.5,-2.5,3,0,0,0,0,12.0,15.0,13.5,14.5,straight,16.5,15.5,hazel,pale,normal,normal,shorthair,,natural,bicolor,spotted tabby,mink,False,False,False,True,False,0,0,,99.99,99.99,99.99,79.00,99.99,50.00
2009878,2022-12-28,#Angel,Kidder (#267830),0,10,36,male,mixed breed,7,12.5,1.5,-1.5,0.5,1.0,-2.0,-4.0,2,0,0,0,0,13.5,15.5,12.5,16.0,straight,17.0,14.0,yellow-green,deep,normal,normal,shorthair,,black,van,spotted tabby,,False,True,False,False,False,0,0,,94.99,99.99,99.99,53.60,99.99,50.00
2006488,2022-12-28,Regional Champion ℂ✩ Joker 7,Chant’s ℂ✩ Neverending Studio Projects (#19181),1000,0,50,male,City Watch Cat,8,12.5,-1.5,-1.0,-0.5,1.0,-2.0,-3.5,2,0,0,1,0,10.5,16.0,11.5,16.0,straight,17.0,14.5,bronze,deep,short (bobtail),normal,shorthair,,black,,,,True,False,False,False,False,1040,0,,99.99,99.99,79.99,99.99,99.52,50.00
2012963,2022-12-28,"# [8.86 CF, 7, 9] Santa Cat",Kittystix1 (#268795),0,0,22,male,mixed breed,7,13.5,-1.0,-3.5,0.5,0.0,-2.0,-2.5,2,2,0,0,0,11.0,13.5,12.5,15.0,straight,17.0,15.5,blue,deep,normal,normal,longhair,,white,,,,False,False,False,False,False,0,0,,94.99,94.99,95.99,9.10,74.80,50.00
2009747,2022-12-28,sbc · earl grey,limeshade  (#154001),0,50,36,male,mixed breed,8,13.5,0.5,-2.5,0.5,-0.5,-2.5,-3.0,2,2,0,0,0,12.5,14.5,12.5,14.5,straight,16.5,15.0,blue,deep,normal,normal,longhair,,natural,bicolor,,mink,False,False,False,False,True,0,0,,99.99,99.99,99.99,67.75,99.99,50.00
2011817,2022-12-28,"# [6.5 CF, 4, 16] Still Mori Lei of Wonders",Kittystix1 (#268795),0,50,40,male,mixed breed,7,14.0,-0.5,-7.5,-1.0,0.5,-1.0,-1.5,2,0,0,0,0,11.5,9.5,11.0,15.5,straight,18.0,16.5,brown,deep,normal,normal,shorthair,,black,bicolor,mackerel tabby,,False,False,False,False,False,0,0,,94.99,93.00,99.99,41.80,36.15,50.00
2005467,2022-12-28,#2005467,NezumiVolk (#266995),0,50,56,male,mixed breed,7,14.0,-0.5,-3.0,0.5,-0.5,-2.0,-5.5,2,0,0,0,0,11.5,14.0,12.5,14.5,straight,17.0,12.5,grey-green,deep,normal,normal,shorthair,,chocolate,,spotted tabby,,False,False,False,True,False,0,0,,99.99,92.99,0.00,54.00,61.73,50.00
