id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2015990,2022-12-28,"# [7 CF, 6, 10] Crystal Ush",Kittystix1 (#268795),0,0,8,female,mixed breed,7,10.5,-0.5,-0.5,1.5,-0.5,-3.0,-1.5,3,0,0,0,0,11.5,16.5,13.5,14.5,straight,16.0,16.5,blue,pale,normal,normal,shorthair,,seal,bicolor,spotted tabby,point,False,False,False,True,False,0,0,,94.99,98.99,95.99,16.00,99.99,50.00
2015991,2022-12-28,"# [5.86 CF, 6, 10] Hyper",Kittystix1 (#268795),0,0,8,female,mixed breed,8,12.0,-0.5,0.5,1.0,-0.5,-3.0,-1.5,3,2,0,0,0,11.5,17.5,13.0,14.5,straight,16.0,16.5,blue,pale,normal,normal,longhair,,cinnamon,,mackerel tabby,point,False,False,False,True,False,0,0,,94.99,93.99,99.19,55.60,99.99,50.00
2005528,2022-12-28,#2005528,Rescue Shelter,200,0,56,female,mixed breed,8,12.5,0.5,-2.5,0.5,-0.5,-2.5,-3.0,2,0,0,1,0,12.5,14.5,12.5,14.5,straight,16.5,15.0,blue,deep,short (bobtail),normal,shorthair,,seal,,spotted tabby,point,False,False,False,True,False,0,0,True,99.99,50.99,68.99,43.60,99.99,74.00
2016160,2022-12-28,#2016160,Silverglitter17 (#179130),25,0,8,female,mixed breed,7,13.0,0.0,1.5,-1.5,-1.5,-2.5,-1.0,3,2,0,0,0,12.0,18.5,10.5,13.5,straight,16.5,17.0,blue,pale,normal,normal,longhair,,seal,bicolor,mackerel tabby,point,False,True,True,False,False,0,0,,84.99,91.99,23.00,37.00,41.00,50.00
2009271,2022-12-28,#Lion - SH,Enakhra ~James' Rehab and Retirement Center~ (#146955),1,0,38,female,mixed breed,6,14.5,-1.0,-1.5,-1.0,0.0,-4.0,-4.0,3,0,0,0,0,11.0,15.5,11.0,15.0,straight,15.0,14.0,green,medium,normal,normal,shorthair,,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,True,4.99,10.99,7.99,67.00,85.96,70.00
2009836,2022-12-28,"# [5 PP, 7, 17] Tinytail",Bumblegun (#269722),0,0,36,female,mixed breed,5,15.0,0.0,-4.0,0.0,0.0,-2.5,-5.5,2,0,0,1,0,12.0,13.0,12.0,15.0,straight,16.5,12.5,green,deep,short (bobtail),normal,shorthair,,chocolate,,classic tabby,,False,False,False,False,False,0,11,True,99.99,94.49,73.60,77.00,99.99,50.00
2016159,2022-12-28,#2016159,Silverglitter17 (#179130),25,0,8,female,mixed breed,6,15.0,0.0,1.0,-2.0,-4.0,-5.0,-1.0,2,0,0,0,0,12.0,18.0,10.0,11.0,straight,14.0,17.0,blue,deep,normal,normal,shorthair,,seal,,mackerel tabby,point,False,False,False,False,False,0,0,,84.99,93.99,30.00,46.00,78.00,50.00
2011005,2022-12-28,#2011005,Almalexia | Tigraunda Revival (#70878),100,0,30,female,mixed breed,7,15.0,3.0,0.5,1.0,-1.0,-3.5,-4.0,2,0,0,0,0,15.0,17.5,13.0,14.0,straight,15.5,14.0,hazel,deep,normal,normal,shorthair,,black,,spotted tabby,,False,False,False,False,False,0,0,True,99.99,80.06,0.00,53.00,95.82,50.00
2012075,2022-12-28,#2012075,Rescue Shelter,200,0,26,female,mixed breed,8,15.0,-1.0,-1.0,0.5,-1.0,-2.5,-5.0,2,2,0,0,0,11.0,16.0,12.5,14.0,straight,16.5,13.0,grey-green,deep,normal,normal,shorthair,rex III,black,mitted,spotted tabby,,False,False,False,False,False,0,0,True,99.99,2.74,0.00,9.00,99.99,75.00
2007893,2022-12-28,#2007893,Rescue Shelter,200,0,44,female,mixed breed,8,15.0,1.0,-3.0,0.0,-0.5,-2.5,-3.0,3,0,0,1,1,13.0,14.0,12.0,14.5,straight,16.5,15.0,grey-green,medium,short (bobtail),short (Munchkin),shorthair,,natural,bicolor,spotted tabby,mink,False,False,False,True,False,0,0,True,99.99,47.99,68.99,44.20,99.99,74.00
